,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DISPLAY_FIRST_LAST,DRAFT_YEAR,DRAFT_NUMBER
956,1641788,2023-24,00,1610612747,LAL,21.0,4,0,14.0,1,6,0.167,0,2,0.0,2,2,1.0,2,0,2,0,0,0,1,1,4,Alex Fudge,Undrafted,Undrafted
957,1641788,2023-24,00,1610612742,DAL,21.0,2,0,26.0,5,9,0.556,1,3,0.333,0,0,0.0,2,1,3,0,3,0,1,1,11,Alex Fudge,Undrafted,Undrafted
965,1628365,2023-24,00,1610612753,ORL,26.0,43,18,910.0,154,326,0.472,4,18,0.222,23,33,0.697,56,82,138,120,42,15,50,65,335,Markelle Fultz,2017,1
972,1629655,2023-24,00,1610612764,WAS,25.0,45,45,1192.0,203,294,0.69,0,0,0.0,84,119,0.706,131,230,361,69,44,97,46,147,490,Daniel Gafford,2019,38
973,1629655,2023-24,00,1610612742,DAL,25.0,29,21,623.0,145,186,0.78,0,0,0.0,34,56,0.607,64,137,201,46,21,56,28,80,324,Daniel Gafford,2019,38
990,201568,2023-24,00,1610612764,WAS,35.0,26,0,385.0,57,131,0.435,20,64,0.313,47,56,0.839,12,64,76,31,6,3,12,26,181,Danilo Gallinari,2008,6
991,201568,2023-24,00,1610612765,DET,35.0,6,0,90.0,12,22,0.545,7,12,0.583,21,24,0.875,2,12,14,12,2,2,1,9,52,Danilo Gallinari,2008,6
992,201568,2023-24,00,1610612749,MIL,35.0,17,0,155.0,14,37,0.378,3,17,0.176,16,18,0.889,6,12,18,12,6,1,10,15,47,Danilo Gallinari,2008,6
998,1629636,2023-24,00,1610612739,CLE,24.0,57,57,1900.0,375,841,0.446,132,356,0.371,146,175,0.834,30,122,152,373,74,7,176,95,1028,Darius Garland,2019,5
1001,1630586,2023-24,00,1610612744,GSW,22.0,6,0,18.0,1,6,0.167,0,1,0.0,1,2,0.5,3,4,7,1,1,3,2,2,3,Usman Garuba,2021,23
1004,1630568,2023-24,00,1610612750,MIN,25.0,25,0,122.0,36,75,0.48,9,32,0.281,18,25,0.72,19,12,31,4,4,1,6,24,99,Luka Garza,2021,52
1005,1629232,2023-24,00,1610612740,NOP,27.0,1,0,7.0,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,Kaiser Gates,2018,
1006,1641718,2023-24,00,1610612762,UTA,20.0,75,44,2023.0,319,815,0.391,147,440,0.334,189,223,0.848,15,196,211,332,36,7,188,91,974,Keyonte George,2023,16
1020,202331,2023-24,00,1610612746,LAC,34.0,74,74,2502.0,582,1236,0.471,243,588,0.413,264,291,0.907,37,351,388,262,113,37,153,202,1671,Paul George,2010,10
1023,1630581,2023-24,00,1610612760,OKC,21.0,80,80,2012.0,402,847,0.475,82,243,0.337,100,124,0.806,111,403,514,386,51,44,168,111,986,Josh Giddey,2021,6
1027,1628385,2023-24,00,1610612751,BKN,26.0,16,0,81.0,22,44,0.5,3,11,0.273,7,13,0.538,12,14,26,6,1,3,6,15,54,Harry Giles III,2017,20
1028,1628385,2023-24,00,1610612747,LAL,26.0,7,0,19.0,1,6,0.167,0,3,0.0,0,0,0.0,0,4,4,0,1,0,0,0,2,Harry Giles III,2017,20
1035,1628983,2023-24,00,1610612760,OKC,25.0,75,75,2553.0,796,1487,0.535,95,269,0.353,567,649,0.874,65,350,415,465,150,67,162,184,2254,Shai Gilgeous-Alexander,2018,11
1039,1630264,2023-24,00,1610612764,WAS,31.0,50,3,466.0,75,160,0.469,10,41,0.244,29,36,0.806,37,57,94,34,13,11,23,48,189,Anthony Gill,Undrafted,Undrafted
1040,1631221,2023-24,00,1610612743,DEN,24.0,24,0,225.0,32,69,0.464,15,38,0.395,8,12,0.667,1,20,21,27,13,0,14,24,87,Collin Gillespie,Undrafted,Undrafted
1042,1631367,2023-24,00,1610612763,MEM,25.0,37,14,654.0,60,144,0.417,51,120,0.425,2,2,1.0,8,35,43,131,27,5,29,35,173,Jacob Gilyard,Undrafted,Undrafted
1043,1631367,2023-24,00,1610612751,BKN,25.0,4,0,45.0,0,6,0.0,0,6,0.0,0,0,0.0,1,2,3,6,6,0,1,4,0,Jacob Gilyard,Undrafted,Undrafted
1055,203497,2023-24,00,1610612750,MIN,31.0,76,76,2593.0,406,614,0.661,0,3,0.0,249,390,0.638,285,697,982,102,52,162,118,238,1061,Rudy Gobert,2013,27
1058,1630692,2023-24,00,1610612756,PHX,25.0,40,0,559.0,75,193,0.389,23,80,0.288,25,29,0.862,40,77,117,78,23,9,29,43,198,Jordan Goodwin,Undrafted,Undrafted
1059,1630692,2023-24,00,1610612763,MEM,25.0,17,12,497.0,66,189,0.349,19,61,0.311,19,30,0.633,48,88,136,77,25,9,27,33,170,Jordan Goodwin,Undrafted,Undrafted
1072,203932,2023-24,00,1610612743,DEN,28.0,73,73,2297.0,398,716,0.556,40,138,0.29,177,269,0.658,174,297,471,259,56,45,105,142,1013,Aaron Gordon,2014,4
1090,201569,2023-24,00,1610612756,PHX,35.0,68,24,1893.0,274,618,0.443,150,397,0.378,51,64,0.797,16,106,122,139,66,30,73,79,749,Eric Gordon,2008,7
1098,1628984,2023-24,00,1610612759,SAS,29.0,23,0,313.0,38,108,0.352,25,83,0.301,13,16,0.813,5,31,36,49,9,2,17,14,114,Devonte' Graham,2018,34
1110,203924,2023-24,00,1610612757,POR,30.0,54,54,1830.0,383,850,0.451,111,276,0.402,255,312,0.817,37,154,191,152,45,34,116,117,1132,Jerami Grant,2014,39
